AAIC-P-B,NYSE,USD,Preferred Stock,AAIC-P-B,None,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,22.19,16.05,0,0,0,None,None
AAIC-P-C,NYSE,USD,Preferred Stock,AAIC-P-C,None,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,24.99,19.5,0,0,0,None,None
AAIN,NYSE,USD,Common Stock,AAIN,None,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,2023-06-30,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,23.84,19.99,23.66,23.33,0,2023-08-01,None
AAL,NASDAQ,USD,Common Stock,American Airlines Group,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",December,2023-06-30,7657403000,7473000000,3.021,0.627,-6.71,0,0.0303,3.88,81.15,0.0498,0.156,0.0481,0,52893999000,11443000000,3.88,1.769,0.047,14.77,3.021,8.33,0.186,-,0.934,-361.05,1.569,19.08,11.68,13.96,15.08,653362000,2020-02-19,2020-02-04
AAMC,NYSE MKT,USD,Common Stock,Altisource Asset Management Corp,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company is headquartered in Christiansted, Virgin Islands.",USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,December,2023-06-30,11487900,-8830000,None,0,-55.63,0,0,-8.39,4.784,-1.757,-1.062,-0.0679,-0.268,8483000,-5635000,-8.39,-0.982,2.602,None,-,-,15.42,-,1.586,1.347,1.634,103.5,6.27,11.89,46.76,1764700,None,None
AAME,NASDAQ,USD,Common Stock,Atlantic American Corporation,"Atlantic American Corporation provides life and health insurance and property and casualty products in the United States. The company is headquartered in Atlanta, Georgia.",USA,FINANCE,LIFE INSURANCE,December,2023-06-30,38968400,4337000,191,0,5.07,0.02,0.0108,0.01,9.16,0.0035,0.019,0.0059,0.0062,187031000,20364000,0.01,-0.784,0.101,None,191,-,0.256,0.535,0.339,-,0.325,3.105,1.651,1.901,2.18,20402300,2023-09-12,2023-08-21
AAN,NYSE,USD,Common Stock,The Aaron's Company Inc.,"The Aarons Company Inc. offers purchase and leasing solutions with an option to buy. The company is headquartered in Atlanta, Georgia.",USA,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",December,2023-06-30,289243000,230109000,None,1.35,23.02,0.48,0.0534,-0.06,73.49,-0.001,0.0616,0.0465,-0.003,2267701000,1184847000,-0.06,-0.397,-0.131,13.55,-,10.16,0.177,0.538,0.528,1.812,1.226,15.96,7.33,11.14,12.49,30869000,2023-10-04,2023-09-13
AAOI,NASDAQ,USD,Common Stock,Applied Opt,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber optic networking products globally. The company is headquartered in Sugar Land, Texas.",USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2023-06-30,251736000,-40263000,None,0.51,5.14,0,0,-2.33,7.43,-0.325,-0.291,-0.0979,-0.361,212923000,33627000,-2.33,0,-0.204,15.75,-,84.03,0.28,0.305,0.859,-5.99,1.683,16.26,1.6,11.48,5.38,33342500,None,None
AAON,NASDAQ,USD,Common Stock,AAON Inc,"AAON, Inc. engages in the engineering, manufacturing, marketing and sales of heating and air conditioning equipment in the United States and Canada. The company is headquartered in Tulsa, Oklahoma.",USA,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,December,2023-06-30,4714989000,223661000,31.92,2.87,8.09,0.32,0.0057,1.81,13.01,0.142,0.175,0.135,0.259,1047113000,237572000,1.81,1.734,0.36,74.44,31.92,-,5.4,8.18,6.93,28.92,0.827,71.3,35.66,60.75,60.29,81610000,2023-09-29,2023-09-07
AAP,NYSE,USD,Common Stock,Advance Auto Parts Inc,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,December,2023-06-30,3151331000,871303000,9.15,0.909,46.11,4.75,0.0197,5.79,188.28,0.0308,0.0511,0.0293,0.125,11218745000,4964672000,5.79,-0.399,0.008,69.5,9.15,11.03,0.766,3.13,1.077,12.61,1.15,188.35,49.28,62.07,101.17,59470000,2023-10-27,2023-10-12
AAPL,NASDAQ,USD,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",USA,TECHNOLOGY,ELECTRONIC COMPUTERS,September,2023-06-30,2796176802000,123957002000,30.01,2.75,3.852,0.93,0.0054,5.96,24.22,0.247,0.281,0.209,1.601,383932989000,170782000000,5.96,0.05,-0.014,199.56,30.01,28.66,5.51,44.63,5.92,23.52,1.308,197.96,123.64,177.89,168.3,15634200000,2023-08-17,2023-08-11
AAT,NYSE,USD,Common Stock,American Assets Trust Inc,"American Assets Trust, Inc. is a self-managed, vertically integrated, full-service real estate investment trust, or REIT, based in San Diego, California. ",USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,2023-06-30,1441222000,237641000,22.31,21.85,20.0,1.3,0.0722,0.84,7.16,0.117,0.277,0.0248,0.0546,430162000,272594000,0.84,0.13,0.053,22,22.31,-,5.03,1.357,7.84,13.83,1.191,28.37,15.52,20.34,21.3,60725000,2023-09-21,2023-09-06
